PCDate,PCTime,MEActFOCons,MESFOC_nmile,MERpm,MEShaftPow,ShipSpdToWater,SpdStd,ShipHeel,ShipTrim,ShipDraft,ShipSlip,WindSpd,Latitude,Longitude,Uwind,Vwind,AirTemperature,WindGust,WaveDirection,WavePeriod,SWTemperture,SwellHeight,WaveHeight
2020-08-23,21:33:40,907.8181152,55.81532288,77,5142,16.2,0.1612451549659706,-0.41,3.98,6.03,-5.86935091,19.3,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:33:50,934.2792969,57.6841011,77,5145,16.2,0.1788854381999825,-0.38,3.25,6.255,-5.86935091,19.4,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:34:02,913.6474609,56.45383453,77,5212,16.2,0.1999999999999993,-0.78,4.31,5.975,-5.86935091,19.5,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:34:12,944.1799316,58.27587891,77,5195,16.2,0.1999999999999993,0.04,3.63,6.055,-5.86935091,19.1,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:34:22,891.5063477,55.19855881,77,4943,16.2,0.1999999999999993,-0.05,3.63,6.285,-5.86935091,19.3,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:34:34,914.3438721,56.17564392,77,5127,16.2,0.1999999999999993,-0.11,3.97,5.965,-5.86935091,19.4,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:34:44,915.2368164,56.59427643,77,5205,16.2,0.1999999999999993,0.02,3.5,6.29,-5.86935091,19.4,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:34:55,915.2275391,56.49552536,77,5089,16.2,0.1999999999999993,0.13,3.38,6.26,-5.86935091,19.1,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:35:07,923.7904053,57.09644318,77,5037,16.2,0.1999999999999993,0.11,3.95,6.085,-5.86935091,19.2,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:35:17,920.4991455,56.7510376,77,5266,16.2,0.1999999999999993,-0.58,3.36,6.27,-5.86935091,19.1,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:35:27,923.2918701,57.00000763,77,5078,16.2,0.1999999999999993,-0.46,3.57,6.165,-5.86935091,19.3,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:35:39,917.8800049,57.01249313,77,5180,16.2,0.1999999999999993,-0.48,3.49,6.295,-5.86935091,19.2,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:35:49,923.9136963,57.01053619,77,5117,16.2,0.1999999999999993,-0.4,3.52,6.15,-5.86935091,19.3,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:35:59,921.8278809,56.94447327,77,5186,16.2,0.1999999999999993,-0.12,3.44,6.25,-5.86935091,19.2,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:36:10,939.2084961,57.89879227,77,5178,16.2,0.1999999999999993,-0.44,3.91,6.055,-5.86935091,19.0,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:36:22,919.479248,56.91295624,77,5042,16.2,0.1999999999999993,-0.3,3.19,6.335,-5.86935091,19.5,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:36:32,917.6629639,56.61508179,77,5224,16.2,0.1999999999999993,0.11,3.88,6.15,-5.86935091,19.3,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:36:42,911.699585,56.33005524,77,5070,16.2,0.1999999999999993,-0.26,3.11,6.325,-5.86935091,19.2,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:36:54,909.9820557,56.0825386,77,5168,16.2,0.1999999999999993,-0.2,3.48,6.3,-5.86935091,19.3,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:37:04,929.012207,57.34616089,77,5120,16.2,0.1999999999999993,-0.22,3.13,6.265,-5.86935091,19.2,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:37:14,913.4659424,56.38678741,77,5060,16.2,0.1999999999999993,0.01,3.36,6.35,-5.86935091,19.2,31.35,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
